Fake_Id,Designation,Recruitment_Type,Account_code,Avg_In_Tim,Avg_Out_Tim,Avg_Office_hr,Avg_Bay_hr,Avg_Break_hr,Avg_Cafeteria,Avg_OOO_hr,Unbilled,Half_Day,Full_Day,Online_Checkin,Exemptions,Unallocated,avg_in_time_hr,avg_office_hours,avg_break_hours,avg_ooo_hours,total_leaves,unbilled_flag,unallocated_flag,bay_hours,cafeteria_hours,efficiency,break_utilization,punctuality,absenteeism_days,burnout_hours,Cluster,Behavior_Type,Name
1,AL,Campus-2022,TM,10:34:56,17:07:40,11:47:16,09:47:10,01:45:01,00:40:07,01:14:56,Billed,4,4,8,0,No,10.566666666666666,11.783333333333331,1.75,1.2333333333333334,8,0,0,9.783333333333331,0.6666666666666666,69.02404526166902,0.205091937765205,1.5666666666666664,6.0,2.783333333333333,3,Silent Overworker,Drew Lewis
2,TDS,Campus-2020,TM,11:45:27,18:07:25,11:44:23,08:32:04,01:05:38,00:52:33,00:53:17,Billed,4,10,2,7,No,11.75,11.733333333333333,1.0833333333333333,0.8833333333333333,14,0,0,8.533333333333333,0.8666666666666667,75.85227272727272,0.1661931818181818,2.75,12.0,2.7333333333333325,0,Consistent Performer,Avery Martinez
3,SSE,Campus-2023,TS,08:15:21,17:35:01,11:16:13,07:41:17,01:17:14,00:33:18,00:27:29,Billed,5,8,8,6,No,8.25,11.266666666666667,1.2833333333333332,0.45,13,0,0,7.683333333333334,0.55,79.73372781065089,0.1627218934911242,0.75,10.5,2.2666666666666675,3,Silent Overworker,Dakota Thompson
4,AL,Lateral,TS,11:57:41,19:18:41,09:22:57,07:57:46,01:08:34,00:49:17,00:51:38,Billed,1,12,2,6,Yes,11.95,9.366666666666667,1.1333333333333333,0.85,13,0,1,7.95,0.8166666666666667,70.10676156583631,0.2081850533807829,2.9499999999999997,12.5,0.3666666666666671,0,Consistent Performer,Rowan Walker
5,SE,Lateral,SN,09:18:01,22:12:57,07:48:30,09:31:12,01:53:57,00:47:03,01:28:38,Billed,4,12,5,9,No,9.3,7.8,1.8833333333333333,1.4666666666666668,16,0,0,9.516666666666667,0.7833333333333333,47.00854700854701,0.3418803418803419,0.3000000000000007,14.0,0.0,1,Late Starter,Quinn Rodriguez
6,SSE,Campus-2022,TM,11:15:16,20:22:35,09:36:24,06:19:53,01:45:36,00:16:13,01:22:24,Billed,1,1,4,7,No,11.25,9.6,1.75,1.3666666666666667,2,0,0,6.316666666666666,0.2666666666666666,64.75694444444446,0.2100694444444444,2.25,1.5,0.5999999999999996,1,Late Starter,Harper Garcia
7,AL,Lateral,TS,10:31:41,20:09:39,08:47:41,05:10:05,01:54:04,00:51:18,01:24:13,Billed,3,12,7,5,No,10.516666666666667,8.783333333333333,1.9,1.4,15,0,0,5.166666666666667,0.85,52.75142314990512,0.3130929791271347,1.5166666666666675,13.5,0.0,1,Late Starter,Jamie Clark
8,SE,Lateral,TS,11:13:21,22:04:45,08:03:15,06:40:13,01:47:26,00:23:32,01:20:57,Billed,4,5,6,9,No,11.216666666666669,8.05,1.7833333333333332,1.3333333333333333,9,0,0,6.666666666666667,0.3833333333333333,56.52173913043479,0.269151138716356,2.216666666666667,7.0,0.0,1,Late Starter,Taylor Anderson
9,SE,Campus-2022,TS,10:06:16,17:32:44,08:00:09,08:57:40,00:36:09,00:56:29,00:34:43,Billed,0,9,7,4,No,10.1,8.0,0.6,0.5666666666666667,9,0,0,8.95,0.9333333333333332,73.75,0.1916666666666666,1.0999999999999996,9.0,0.0,2,Erratic / At-Risk,Drew Anderson
10,AL,Campus-2022,SN,11:31:56,22:50:52,10:36:47,08:47:16,01:15:02,00:51:02,01:22:24,Billed,5,4,4,5,No,11.516666666666667,10.6,1.25,1.3666666666666667,9,0,0,8.783333333333333,0.85,67.29559748427673,0.1981132075471698,2.5166666666666675,6.5,1.5999999999999996,0,Consistent Performer,Morgan Garcia
11,SE,Campus-2020,TM,10:28:20,20:44:44,09:28:20,08:45:16,01:51:09,00:13:30,00:53:29,Billed,5,9,7,2,No,10.466666666666669,9.466666666666669,1.85,0.8833333333333333,14,0,0,8.75,0.2166666666666666,68.83802816901408,0.2183098591549296,1.4666666666666668,11.5,0.4666666666666668,1,Late Starter,Reese Thompson
12,SSE,Campus-2022,SN,11:22:34,20:14:38,08:16:50,06:38:43,00:57:55,00:38:19,00:21:24,Billed,0,3,1,1,No,11.366666666666667,8.266666666666667,0.95,0.35,3,0,0,6.633333333333333,0.6333333333333333,76.61290322580645,0.1915322580645161,2.366666666666667,3.0,0.0,0,Consistent Performer,Rowan Harris
13,SSE,Campus-2020,TS,11:47:12,21:07:06,11:38:39,07:18:45,00:46:34,00:21:26,01:28:20,Unbilled,0,3,0,1,No,11.783333333333331,11.633333333333333,0.7666666666666667,1.4666666666666668,3,1,0,7.3,0.35,77.79369627507162,0.0959885386819484,2.783333333333333,3.0,2.633333333333333,0,Consistent Performer,Drew Thomas
14,TDS,Campus-2021,TS,10:37:34,21:24:23,09:06:19,05:55:42,01:41:30,00:33:53,01:28:12,Unbilled,5,1,8,0,No,10.616666666666667,9.1,1.6833333333333331,1.4666666666666668,6,1,0,5.916666666666667,0.55,59.34065934065934,0.2454212454212454,1.6166666666666671,3.5,0.0999999999999996,1,Late Starter,Taylor Taylor
15,AL,Campus-2021,SN,10:28:47,20:42:50,08:30:03,06:42:10,01:57:57,00:26:55,01:25:16,Billed,2,13,8,2,No,10.466666666666669,8.5,1.95,1.4166666666666667,15,0,0,6.7,0.4333333333333333,55.294117647058826,0.2803921568627451,1.4666666666666668,14.0,0.0,1,Late Starter,Peyton Rodriguez
16,SE,Campus-2022,SN,08:24:14,17:00:22,08:44:02,05:29:51,00:54:17,00:31:09,00:20:46,Billed,3,8,7,7,No,8.4,8.733333333333333,0.9,0.3333333333333333,11,0,0,5.483333333333333,0.5166666666666667,79.9618320610687,0.1622137404580153,0.5999999999999996,9.5,0.0,2,Erratic / At-Risk,Cameron Martin
